AK.	Amarakośa
Curt.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Curtius	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Delbr.	Das altindische verbum aus den hymnen des Rigveda seinem baue nach dargestellt— Delbrück, 1874
Delbr., Gebr. des Co. und Opt.	Der Gebrauch des Conjunctivs und Optativs im Sanskrit und Griechischen— Delbrück, 1871
Delbrück: das altindische Verbum	Das altindische verbum aus den hymnen des Rigveda seinem baue nach dargestellt— Delbrück, 1874
Deutsche Pflanzennamen	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Deutsche Pflanzennamen vom Verf.	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Dhātup.	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
Dhātupāṭha Westerg.	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
Druckfehler der Aufrechtʼschen Ausgabe	[Misprint in Aufrechtʼs edition]
F.	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Fi.	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Fick	Vergleichendes Wörterbuch der indogermanischen Sprachen— Fick, 1870
Glosse des Hesychius	Hesychii Alexandrini lexicon— Mauricious Schmidt, 1861
Goldschmidt in Beitr.	Etymologien. 1. chromŭ - srāma; 2. juvā́ku— Goldschmidtʼs Article in Beiträge zur vergleichenden Sprachforschung
Goldschmidt in Beiträge	Etymologien. 1. chromŭ - srāma; 2. juvā́ku— Goldschmidtʼs Article in Beiträge zur vergleichenden Sprachforschung
Gr. gr.	Grundzüge der griechischen Etymologie— Georg Curtius, 1858
Hesychius	Hesychii Alexandrini lexicon— Mauricious Schmidt, 1861
Hom.	Odyssey— Homer
Homer	Odyssey & Iliad— Homer
Iliad— Homer	Iliad of Homer
Jenaer Literaturzeitung 1874	Jenaer Literaturzeitung 1874 [Jena University Newspaper, 1874]
Johannes Schmidt: Die Wurzel ak	Die Wurzel ak im Indogermanischen— Dr. Johannes Schmidt, 1865
Justi	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Handb. d. Zend.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Zend.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Justi Zendspr.	Handbuch Der Zendsprache— Ferdinand Justi, 1864
Kir.	Kirātārjunīya, Calcutta ed., 1814
Ku. Beitr.	Wechsel von am und u im sanskrit— Kuhnʼs Article in Beiträge zur vergleichenden Sprachforschung
Kuhn in Haupt Zeitschr.	Zur mythologie— Kuhnʼs Article in Hauptʼs Zeitschrift (Zeitschrift für Deutsches Altertum)
M. Müller	Max Müllerʼs edition of Rig-Veda
MBh.	Mahābhārata, Calcutta ed., 1834—9
Mah.	Mahābhārata, Calcutta ed., 1834—9
Max Müller	Oxford Essays— Max Müller, 1856
Max Müller the sixth hymn	The Sixth Hymn of the First Book of the Rig Veda— Max Müllerʼs Article in JRAS of Great Britain and Ireland, New Series, Vol. 3, No. 1 (1867)
Mitrahymnus	[Hymns to Mitra (and others)]
Müller	Max Müllerʼs edition of Rig-Veda
Naigh.	Naighaṇṭukakāṇḍa [Jâskaʼs Nirukta, sammt den Nighaṇṭavas Bd. 1— Rudolf Roth, 1852]
Nir.	Nirukta [Jâskaʼs Nirukta, sammt den Nighaṇṭavas Bd. 2— Rudolf Roth, 1852]
Oxford Essays	Oxford Essays— Max Müller, 1856
P.	Rig-Veda Padapāṭha
Pad.	Rig-Veda Padapāṭha
Pada	Rig-Veda Padapāṭha
Pada bei Aufr.	Rig-Veda Padapāṭha, Aufrechtʼs edition
Padap.	Rig-Veda Padapāṭha
Padapāṭha	Rig-Veda Padapāṭha
Pauli, Körpertheile	Ueber die Benennung der Körpertheile bei den Indogermanen— Carl Pauli, 1867
Pet. Wörtb.	Petersburger (Sanskrit-)Wörterbuch— Böhtlingk und Roth
Prāt.	(Rig-Veda) Prātiśākhya
Pāṇ.	Pâniniʼs acht Bücher grammatischer Regeln— Boethlingk, 1839-40
Pāṇini	Pâniniʼs acht Bücher grammatischer Regeln— Boethlingk, 1839-40
RV	Rig-Veda
RV.	Rig-Veda
RV. Pr.	Rig-Veda Prātiśākhya
RV. Prātiś.	Rig-Veda Prātiśākhya
RV. Prātiś. M. M.	Rig-Veda Prātiśākhya, Max Müllerʼs edition
Roth	?? (Roth, in his Nirukta ed. 1852)
Roth Erl. zu Nirukta	Rothʼs Erläuterungen[Rothʼs explanations] zu Nirukta
Roth Nir.	Jâskaʼs Nirukta, sammt den Nighaṇṭavas— Rudolf Roth, 1852 [Yāskaʼs Nirukta]
Roth zu Nir.	Roth, in his Nirukta ed. 1852
Rothʼs Erläuterungen	[Rothʼs Erläuterungen zu Nirukta]
SV.	Die Hymnen des Sâma-Veda— Benfey, 1848
SV. gl.	Glossar zum Sāma-Veda, App. to Die Hymnen des Sâma-Veda mit Glossar— Benfey, 1848
Spr.	Indische Sprüche— Böhtlingk, 1863
Sāy.	Sāyaṇaʼs Commentary to Rig-Veda
TBr.	Taittirīya Brāhmaṇa— Rajendralala Mitra, 1859—90
TS.	Taittirīya Saṃhitā— Weber, 1871
Text	Rigveda Saṃhitā Text
VS.	Vājasaneyi Saṃhitā— Weber, 1852
Verf. Deutsche Pflanzennamen	Deutsche Pflanzennamen— Hermann Grassmann, 1870
Verg. Aen.	Aeneid— Vergil
Vop.	Vopadevaʼs Mugdhabodha— Böhtlingk, 1847
Weber, Ind. St.	Indische Studien— Weber
dhātupāṭha	Pāṇiniʼs Dhātupāṭha, App. to Radices linguae Sanscritae— Westergaard, 1841
ms. Chambers 60	Chambers manuscript 60 [Rigveda Padapāṭha Aṣṭakas 1-4, Chambersʼ Manuscripts collection No. 60]
Śat. Br.	Śatapatha Brāhmaṇa— Weber, 1855
Aufr. Ku.	Auhns.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku.	ὕμνος.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku. Z.	casnar, cascus, Casinum, canus, höss.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku. Zeitschr. 1,356	Deutsche wortdeutungen. 5) sigis.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku. Zeitschr. 14,268	Etymologien.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufr. in Ku. Zeitschr. 3,200	Lateinische etymologieen.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufrecht in Kuhnʼs Zeitschr. 5,135	Auhns.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Aufrecht in Kuhnʼs Zeitschr. I,283	Panzerbeiter, quaestiones umbricae.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Benfey in Ku.	Πεϱνα in πέϱνημι und sanskritisch paṇ, paṇi und verwandts.&#10;— Benfeyʼs Article in Kuhnʼs Zeitschrift
Bugge in Ku.	Zur etymologischen wortforschung.&#10;— Buggeʼs Article in Kuhnʼs Zeitschrift
Bugge in Ku. Zeitschr.	Zur etymologischen wortforschung.&#10;— Buggeʼs Article in Kuhnʼs Zeitschrift
Fi. in Ku. Z.	Etymologische beiträge.&#10;— Fickʼs Article in Kuhnʼs Zeitschrift
J. Grimm	SCADO&#10;— Jacob Grimmʼs Article in Kuhnʼs Zeitschrift
Ku. 16,161 fg.	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 16,167	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 16,170	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 16,184 fg.	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 1,467	Saraṇyû, Ἐϱιννύς.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. 12,121	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 12,123	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 3,324	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. 4,7	Ueber des alte S und einige damit verbundene lautentwicklungen. Artikel VI, VII und nachträge.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. 4,10	Ueber des alte S und einige damit verbundene lautentwicklungen. &#10;Artikel VI, VII und nachträge.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. 4,17	Ueber des alte S und einige damit verbundene lautentwicklungen. &#10;Artikel VI, VII und nachträge.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. 12,106	Ueber die aspiraten und ihr gleichzeitiges vorhandensein im an- &#10;und auslaut der wurzeln.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 11,12 ff.	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 11,15	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 11,44	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 9,10	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 9,17	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. 2,150	Ueber einige seltnere suffixe.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Ku. 11,372 fg.	zd, dd, rd, rt = idg. st.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. 8,1 fg.	Πεϱνα in πέϱνημι und sanskritisch paṇ, paṇi und verwandts.&#10;— Benfeyʼs Article in Kuhnʼs Zeitschrift
Ku. 6,152	βϱέμω, fremo, brimme, bhram.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 11,175	Ausnahmen der ersten lautverschiebung.&#10;— Lottnerʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 10,103	Charis.&#10;— Sonneʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 12,129	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 11,9	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 2,149	Ueber einige seltnere suffixe.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 3,247	Ueber steigerungs - and vergleichungsendungen im lateinischen und in den italischen dialekten.&#10;— W. Corssenʼs Article in Kuhnʼs Zeitschrift
Ku. Z. 19,309	feíhoss, τοῖχος, dēhas.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,161 fg.	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,163	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,164	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,168 fg.	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,172	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,181	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,185	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 16,190	Die italischen göttemamen. Zweite abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 7,63	Die vertretung des anlautenden dr im lateinischen.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,307	G. Curtius, grundzuge der griechischen etymologie bd. II, angez.&#10;— H. Schweizer-Sidlerʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,184	Romanische elemente in den langobardischen gesetzen.&#10;— Pottʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,186—188	Romanische elemente in den langobardischen gesetzen.&#10;— Pottʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 1,445	Saraṇyû, Ἐϱιννύς.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 4,317	Ueber PA-TI, ΠΟ-ΣΙ, PO-TI.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,120	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,126	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,132	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,138	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 3,324	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 2,131	Ueber des alte S und einige damit verbundene lautentwicklungen (Dritter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 2,138	Ueber des alte S und einige damit verbundene lautentwicklungen (Dritter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 12,106	Ueber die aspiraten und ihr gleichzeitiges vorhandensein im an- und auslaut der wurzeln.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,3	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,12	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,13	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,14	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,17, No. 23	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,17	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,26	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,27	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,29 n. 17	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 2,457	Ueber durch nasale erwiterten verbalstämme.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 1,269	Vermischtes. 5) post, pone&#10;— Curtiusʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 10,289	Zur vertretung von skr. j durch griech. β&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 4,370	sibja, jus.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. in Zeitschr. 3,324	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. in Zeitschr. II,129	Ueber des alte S und einige damit verbundene lautentwicklungen (Dritter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. in Zeitschr. II,463	Ueber durch nasale erwiterten verbalstämme.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhn Z.	Ueber die aspiraten und ihr gleichzeitiges vorhandensein im an- und auslaut der wurzeln.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Kuhn Ztschr.	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhn in Zeitschr.	Ueber des alte S und einige damit verbundene lautentwicklungen (Zweiter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 1,154	Gotische etymologieen.&#10;— Schweizerʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 1,384	II. Miscellen.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 9,175	Mytho-etymologica.&#10;— Pottʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 3,429	Ueber des alte S und einige damit verbundene lautentwicklungen (schluſs des fünften artikels)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 6,240	atrium.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Lottner	Ueber die stellung der Italer innerhalb des indoeuropäischen stammes (schlufs)&#10;— Lottnerʼs Article in Kuhnʼs Zeitschrift
Lottner in Ku. Z.	Griechische ableitungen vom stamme des relativums&#10;— Lottnerʼs Article in Kuhnʼs Zeitschrift
Pauli in Ku. Zeitschr.	Ueber skr. hāridravá&#10;— Carl Pauliʼs Article in Kuhnʼs Zeitschrift
Pictet in Ku. Zeitschr.	Etymologische forschungen über die älteste arzneikunst&#10; bei den Indogermanen.&#10;— Adolphe Pictetʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 19,216	Etymologien.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 19,220	Etymologien.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 19,223	Etymologien.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Roth in Ku. 20,70	Zu Benfey: Ueber die entstehong und verwendnng &#10;der im sanskrit mit r anlantenden personalendungeo.&#10;— Rothʼs Article in Kuhnʼs Zeitschrift
Sonne in Ku.	Charis.&#10;— Sonneʼs Article in Kuhnʼs Zeitschrift
Sonne in Ku. Zeitschr.	Sprachliche und mythologische untersuchungen, &#10;angeknüpft an Rigveda I, 50.&#10;— Sonneʼs Article in Kuhnʼs Zeitschrift
Web. in Ku. 10,400	marga, schnell, hurtig &#10;— ὄνος,  ŏnus, ánas.&#10;— Weberʼs Article in Kuhnʼs Zeitschrift
Web. in Ku. 9,234	nâga, snake.&#10;— Weberʼs Article in Kuhnʼs Zeitschrift
Zeitschr. 12,120	Ueber das ursprüngliche vorhandensein von wurzeln, &#10;derenanlaut und auslaut eine aspirate enthielt.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Zeitschr. IX,29	Ueber die verbindung der stummen consonanten mit folgendum v &#10;und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
