pwbib_input_abbrev	pwbib_input_id	match_how	jachertz_head	editions	io_shelfmarks	gild_shelfmarks
DAŚAK. [1925]	2014b	prefix	Das4akuma1racarita	1. Ed. H. H. Wilson, Berlin, 1846.  PW | 2. Ed. M. R. Kale, Bombay, 1925. (?)  pw | 3. Ed. G. Bühler, Bombay, 1887. 1891.  pw	692,691	236
GILD, Bibl.	X234	xref	Bibliotheca sanscrita	Von Johannes Gildemeister, Bonn, 1847. PW, pw		
HARṢAC. (1936)	X171b	prefix	Hars2acarita	Von Ba1na. Ed. J. Vidya1sa1gara, Calcutta, 1876.  pw	1042	
HIOUEN-THSANG	X255	exact	Hiouen Thsang	1. Histoire de la vie de Hiouen Thsang et de ses voyages		
JAIMINI	X182	xref	Mi1ma1m2sa1			
JOLLY	X150	xref	Indisches Schuldrecht	Von J. Jolly, Münchner philos. --phil. Abhandlungen, 1877. S. 528ff pw		
KAIYAṬA	X220	exact	Kaiyata	Ein Kommentator zum Maha1bha1s2ya. PW		
KIELHORN	X169	exact	Kielhorn			
KUMĀRAS. (1868)	1160a	xref	Kuma1rasam2bhava	1. Ed. A. F. Stenzler, Berlin, 1838.  PW, pw | 2. Ed. T. Tarkava1caspati, Calcutta, 1868.  pw	1406,1408	
KĀTANTRA.	X124	exact	Ka1tantra	Ed. J. Eggeling, Calcutta, 1874.  pw	1282	
MAHĀN.	X087	xref	Maha1na1t2aka	Ed. K. Kr2s2n2a Bahadur, Calcutta, 1840.  PW		220
MALLIN.	X008	xref	Mallina1tha	Ein Kommentator des Ka9lida1sa. PW, pw		
MANU	X041	exact	Manu			
NYĀYAS. (1829)	1207b	prefix	Nya1ya Su1tra	Von Gotama. || 1. Ed. V. Bhat2t2a1cha1rya, Calcutta, 1828.	1813	
OPPERT	X132	exact	Oppert			
PARIBHĀṢENDUŚEKHARA	X210	exact	Paribha1s2endus4ekhara	Ed. F. Kielhorn, Bombay, 1868-74. pw	1893	
PAT.	X052	xref	Patan5jali	1. Verfasser des Maha1bha1s2ya. In Böhtlingks Pa1n2ini. | 2. s. Yogasu1tra		
PATAÑJALI	X094	exact	Patan5jali	1. Verfasser des Maha1bha1s2ya. In Böhtlingks Pa1n2ini. | 2. s. Yogasu1tra		
PRĀYAŚCITTAVIVEKA	X253	exact	Pra1yas4cittaviveka	Handschrift. pw		
PĀṆINI	X191	exact	Pa1n2ini	Ed. O. Böhtlingk, Bonn, 1840. PW, pw Mit: Va1rtika1s von Ka1tya1yana		
RĀYAM.	X272	prefix	Ra1yamukuta	Ein Kommentator des Amarakos4a, nach Anführungen im S4KD. PW		
SĀH. D. (1828)	1239a	xref	Sa1hitya Darpana	1. Ed. E. Röer, Calcutta, 1850.  PW, pw | 2. Ed. Calcutta, 1828.  pw	2247	264
TANTRAS.	X040	xref	Tantrasa1ra	Nach Anführungen im S4KD. PW		
TANTRASĀRA	X263	exact	Tantrasa1ra	Nach Anführungen im S4KD. PW		
UPALEKHA	X079	exact	Upalekha	Ed. W. Pertsch, Berlin, 1854.  PW	2796	
UTTARAR. (1862)	1273a	xref	Uttarara1macarita	1. Ed. Calcutta, 1831.  PW, pw | 2. Ed. P. tarkavagi1s4a, Calcutta, 1862.  pw	2830,2832	
VARDHAMĀNAC.	X031	prefix	Vardhama1na Caritra	Handschrift. pw		
VARĀH.	X248	prefix	Vara1ha Pura1n2a	Handschrift. PW, pw		
VEDĀNTASĀRA (1829)	X161	exact	Veda1ntasa1ra	1. Ed. Calcutta, 1829.  PW | 2. Ed. J. R. Ballantyne, Allahabad, 1850.  PW	2937	279
VIVEK.	X149	prefix	Vivekavila1sa	In der Zeitschrift Pratnakamranandini1. pw		
VIṢṆU	X055	prefix	Vis2n2u Su1tra	Ed. H. H. Wilson, London, 1840.  PW, pw | Unbekannte Bombayer Ausgabe. pw	3021	
Vardh.	X007b	prefix	Vardhama1na Caritra	Handschrift. pw		
Verz. d. Pet. H.	X219	xref	St. Petersburg			
VĀSIṢṬHA	X194	prefix	Vasis2t2ha Dharmas4a1stra	Ed. A. A. Führer, Poona, 1830.  pw	2910	
VĪRAMITROD.	X190	prefix	Vi1ramitrodaya	Ed. Calcutta, 1815.  PW, pw	3005	
VĪRAMITRODAYA	X287	exact	Vi1ramitrodaya	Ed. Calcutta, 1815.  PW, pw	3005	
WILSON	X071	prefix	Wilson, H.H.			
ĀCĀRĀDARŚA	1009	exact	A1ca1radars4a	Von S4ri1datta. Ed. Benares, 1821. pw		
ĀNANDAGIRI	X146	exact	A1nandagiri	Ein Kommentator der Br2hada1ran2yaka Upanis2ad. PW, pw		
ŚAṂKARA	X147	exact	S4am2kara	1. Ein Scholiast des S4a1kuntala. PW | 2. Ein Kommentator der Brahmasu1tras.		
ŚĀŚVATA	Y011	xref	Aneka1rthasamuccaya	Von S4a1s4vata. Ed. Th. Zachariae, Berlin, 1882. pw	121	
